date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:44:02	4210/4210	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/flaticon/font/Flaticon.eot	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/flaticon/font/Flaticon.eot	(from http://edenresort.skilljetke.com/css/flaticon.css)
00:44:03	4210/4210	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/flaticon/font/Flaticon.eot?	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/flaticon/font/Flaticond41d.eot	(from http://edenresort.skilljetke.com/css/flaticon.css)
00:44:03	313199/313199	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/ionicons/fonts/ionicons.svg?v=4.0.0-19	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/ionicons/fonts/ionicons580c.svg	(from http://edenresort.skilljetke.com/css/ionicons.min.css)
00:44:04	2848/2848	---M--	200	added ('OK')	font/woff	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/flaticon/font/Flaticon.woff	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/flaticon/font/Flaticon.woff	(from http://edenresort.skilljetke.com/css/flaticon.css)
00:44:05	4032/4032	---M-Z	200	added ('OK')	font/ttf	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/flaticon/font/Flaticon.ttf	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/flaticon/font/Flaticon.ttf	(from http://edenresort.skilljetke.com/css/flaticon.css)
00:44:06	20024/20024	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/flaticon/font/Flaticon.svg	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/flaticon/font/Flaticon.svg	(from http://edenresort.skilljetke.com/css/flaticon.css)
00:44:13	307332/307332	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/icomoon/icomoon.eot?6tt51o	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/icomoon/icomoonccfb.eot	(from http://edenresort.skilljetke.com/css/icomoon.css)
00:44:18	53645/53645	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Aug%202023%2004:19:08%20GMT	http://edenresort.skilljetke.com/images/photo_2023-08-27_07-19-08.jpg	edenspot/Eden%20SPot/edenresort.skilljetke.com/images/photo_2023-08-27_07-19-08.jpg	(from http://edenresort.skilljetke.com/contact.html)
00:44:21	307168/307168	---M-Z	200	added ('OK')	font/ttf	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/icomoon/icomoon.ttf?6tt51o	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/icomoon/icomoonccfb.ttf	(from http://edenresort.skilljetke.com/css/icomoon.css)
00:44:25	307244/307244	---M--	200	added ('OK')	font/woff	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/icomoon/icomoon.woff?6tt51o	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/icomoon/icomoonccfb.woff	(from http://edenresort.skilljetke.com/css/icomoon.css)
00:44:30	935341/935341	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Dec%202019%2005:20:06%20GMT	http://edenresort.skilljetke.com/fonts/icomoon/icomoon.svg?6tt51o	edenspot/Eden%20SPot/edenresort.skilljetke.com/fonts/icomoon/icomoonccfb.svg	(from http://edenresort.skilljetke.com/css/icomoon.css)
